序号,本地ID,中文名称,上游类型,运行分类,可装备,占装备槽,基础装备ID,合成组件ID,图标相对路径,声明SHA256,本地SHA256,交接三方一致,重复簇大小,重复IDs,重复Names,字节,宽,高,图像来源URL,来源页面URL,来源总表修订,远程HTTP,远程SHA256,远程=本地,尺寸一致,单页来源状态,页面标题,视觉联系表,视觉格位,视觉复核,图标身份结论,来源层级,冲突/边界,核对结果
25,currency_wars_equipment_027,数据拷贝仪,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_027.png,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,3,027；028；029,数据拷贝仪；数据拷贝仪Max；数据拷贝仪Pro,31237,128,128,https://patchwiki.biligame.com/images/sr/4/42/g7d2z7yk1xtrk1nza76mj2vgwfcrpyy.png,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AA,99085,200,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第1行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
26,currency_wars_equipment_028,数据拷贝仪Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_028.png,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,3,027；028；029,数据拷贝仪；数据拷贝仪Max；数据拷贝仪Pro,31237,128,128,https://patchwiki.biligame.com/images/sr/0/05/g7d2z7yk1xtrk1nza76mj2vgwfcrpyy.png,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AAMax,99085,200,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第2行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
27,currency_wars_equipment_029,数据拷贝仪Pro,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_029.png,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,3,027；028；029,数据拷贝仪；数据拷贝仪Max；数据拷贝仪Pro,31237,128,128,https://patchwiki.biligame.com/images/sr/4/49/g7d2z7yk1xtrk1nza76mj2vgwfcrpyy.png,https://wiki.biligame.com/sr/%E6%95%B0%E6%8D%AE%E6%8B%B7%E8%B4%9D%E4%BB%AAPro,99085,200,9ef6d5af3970dd9023021ac532d72a3a1a3c57b97507a99b432677be3635b4af,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第2行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
28,currency_wars_equipment_030,星核猎手卡带,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_030.png,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,true,2,030；031,星核猎手卡带；星核猎手卡带Max,28923,128,128,https://patchwiki.biligame.com/images/sr/0/05/4gz84q81cg5l3ygh6bjip2ytanu5lhf.png,https://wiki.biligame.com/sr/%E6%98%9F%E6%A0%B8%E7%8C%8E%E6%89%8B%E5%8D%A1%E5%B8%A6,99085,200,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第2行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
29,currency_wars_equipment_031,星核猎手卡带Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_031.png,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,true,2,030；031,星核猎手卡带；星核猎手卡带Max,28923,128,128,https://patchwiki.biligame.com/images/sr/f/f3/4gz84q81cg5l3ygh6bjip2ytanu5lhf.png,https://wiki.biligame.com/sr/%E6%98%9F%E6%A0%B8%E7%8C%8E%E6%89%8B%E5%8D%A1%E5%B8%A6Max,99085,200,5e7cfa755e8919353448b176967365876c4748dca06fd6c1e0ae66e899032788,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第2行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
30,currency_wars_equipment_032,欢愉卡带,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_032.png,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,true,2,032；033,欢愉卡带；欢愉卡带Max,30570,128,128,https://patchwiki.biligame.com/images/sr/3/3c/m9l08rfrkf6adh8v9qwem5ch0rxlpba.png,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E5%8D%A1%E5%B8%A6,99085,200,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第2行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
31,currency_wars_equipment_033,欢愉卡带Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_033.png,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,true,2,032；033,欢愉卡带；欢愉卡带Max,30570,128,128,https://patchwiki.biligame.com/images/sr/3/37/m9l08rfrkf6adh8v9qwem5ch0rxlpba.png,https://wiki.biligame.com/sr/%E6%AC%A2%E6%84%89%E5%8D%A1%E5%B8%A6Max,99085,200,41bf730530558f7ffe3c31adc6c4aeca06ab97bc495b8e372d7482642fbb4c53,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第3行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
32,currency_wars_equipment_034,病毒防火墙,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_034.png,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,true,2,034；035,病毒防火墙；病毒防火墙Max,30116,128,128,https://patchwiki.biligame.com/images/sr/d/df/qfh49x0x28j4oxozvjtvvrdo1qxg92t.png,https://wiki.biligame.com/sr/%E7%97%85%E6%AF%92%E9%98%B2%E7%81%AB%E5%A2%99,99085,200,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第3行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
33,currency_wars_equipment_035,病毒防火墙Max,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_035.png,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,true,2,034；035,病毒防火墙；病毒防火墙Max,30116,128,128,https://patchwiki.biligame.com/images/sr/d/d8/qfh49x0x28j4oxozvjtvvrdo1qxg92t.png,https://wiki.biligame.com/sr/%E7%97%85%E6%AF%92%E9%98%B2%E7%81%AB%E5%A2%99Max,99085,200,0dff01418203ef0b8953f58ea464daa675e1f7dcf15d3e8f7a1862dea70d1d07,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第3行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
34,currency_wars_equipment_036,破解芯片,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_036.png,7f1683113b9e41cda1a63b4e538b1281cd1da09ce3952c5693e0ebba607626ee,7f1683113b9e41cda1a63b4e538b1281cd1da09ce3952c5693e0ebba607626ee,true,1,036,破解芯片,31045,128,128,https://patchwiki.biligame.com/images/sr/f/fb/m434g5lpflmkuhum94x1vkdpf95s04v.png,https://wiki.biligame.com/sr/%E7%A0%B4%E8%A7%A3%E8%8A%AF%E7%89%87,99085,200,7f1683113b9e41cda1a63b4e538b1281cd1da09ce3952c5693e0ebba607626ee,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第3行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
35,currency_wars_equipment_037,管理员手套ProMax,骇客改件,hacking_component,是,否,,,assets/currency_wars_equipment_icons/currency_wars_equipment_037.png,5bac56504b1db84ae69062e3ecd70d19a3b66d62bae4054de1f2e407624032fd,5bac56504b1db84ae69062e3ecd70d19a3b66d62bae4054de1f2e407624032fd,true,1,037,管理员手套ProMax,32843,128,128,https://patchwiki.biligame.com/images/sr/5/59/2emick776yvh75j4ufh5knj1l1i25l0.png,https://wiki.biligame.com/sr/%E7%AE%A1%E7%90%86%E5%91%98%E6%89%8B%E5%A5%97ProMax,99085,200,5bac56504b1db84ae69062e3ecd70d19a3b66d62bae4054de1f2e407624032fd,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第3行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.2仅支持骇客改件类别语义，不逐项支持16个子名称/图标,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
36,currency_wars_equipment_038,垃圾袋,？,special_material,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_038.png,dcff06368995fd6ca429b87f3885c8d6db241fbcd9492ddb245e9ba6b828e98f,dcff06368995fd6ca429b87f3885c8d6db241fbcd9492ddb245e9ba6b828e98f,true,1,038,垃圾袋,25685,128,128,https://patchwiki.biligame.com/images/sr/6/68/tfubi1plc8f6cbakh2y7jwl2fi493ln.png,https://wiki.biligame.com/sr/%E5%9E%83%E5%9C%BE%E8%A2%8B,99085,200,dcff06368995fd6ca429b87f3885c8d6db241fbcd9492ddb245e9ba6b828e98f,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第4行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.0直接支持垃圾袋/金垃圾袋属于新增装备（不提供单项图标）,上游类型为“？”，本地映射 special_material；分类未获可靠来源确认,分类冲突待确认
37,currency_wars_equipment_039,金垃圾袋,？？？,special_material,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_039.png,b8999031cac93715af548d29aeae29006fd0ccb2d993f830593dc9d2f3099e49,b8999031cac93715af548d29aeae29006fd0ccb2d993f830593dc9d2f3099e49,true,1,039,金垃圾袋,29806,128,128,https://patchwiki.biligame.com/images/sr/2/2a/8ubsp3k0083fix177nan94xruy3h6qc.png,https://wiki.biligame.com/sr/%E9%87%91%E5%9E%83%E5%9C%BE%E8%A2%8B,99085,200,b8999031cac93715af548d29aeae29006fd0ccb2d993f830593dc9d2f3099e49,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第4行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.0直接支持垃圾袋/金垃圾袋属于新增装备（不提供单项图标）,上游类型为“？？？”，本地映射 special_material；分类未获可靠来源确认,分类冲突待确认
38,currency_wars_equipment_040,以太钻头,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_040.png,3bf2828af7d7ddb7fc4dd7ec056806d1e4c0b52088be0c8ed5f43047b70de715,3bf2828af7d7ddb7fc4dd7ec056806d1e4c0b52088be0c8ed5f43047b70de715,true,1,040,以太钻头,13641,98,100,https://patchwiki.biligame.com/images/sr/6/6e/bhk964m385zlsbozvgxuyp143xatr3t.png,https://wiki.biligame.com/sr/%E4%BB%A5%E5%A4%AA%E9%92%BB%E5%A4%B4,99085,200,3bf2828af7d7ddb7fc4dd7ec056806d1e4c0b52088be0c8ed5f43047b70de715,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第4行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
39,currency_wars_equipment_041,光能电池,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_041.png,9f391d51343b6fbdeb159b5832d4013412170df6dd49f2d4f407e54e9f7f0013,9f391d51343b6fbdeb159b5832d4013412170df6dd49f2d4f407e54e9f7f0013,true,1,041,光能电池,14421,105,106,https://patchwiki.biligame.com/images/sr/5/5a/s5tbp47335hgbqoey7at9rquqdwzgw4.png,https://wiki.biligame.com/sr/%E5%85%89%E8%83%BD%E7%94%B5%E6%B1%A0,99085,200,9f391d51343b6fbdeb159b5832d4013412170df6dd49f2d4f407e54e9f7f0013,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第4行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
40,currency_wars_equipment_042,和平手枪,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_042.png,7fe80889efea95eea2445faadc74748aa5c236bad00ed96e1111d6b91b03eb09,7fe80889efea95eea2445faadc74748aa5c236bad00ed96e1111d6b91b03eb09,true,1,042,和平手枪,16206,115,119,https://patchwiki.biligame.com/images/sr/4/47/pzpvx95meoarawtue4rr20emrzkllqw.png,https://wiki.biligame.com/sr/%E5%92%8C%E5%B9%B3%E6%89%8B%E6%9E%AA,99085,200,7fe80889efea95eea2445faadc74748aa5c236bad00ed96e1111d6b91b03eb09,true,true,HTTP 567（限流/反爬）,,equipment-contact-02.png,第4行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
41,currency_wars_equipment_043,幸运星,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_043.png,0f48b0a0f9fb6045a0c9f0955416a0016e9484e2ef46f3e1f61d84b604019bf7,0f48b0a0f9fb6045a0c9f0955416a0016e9484e2ef46f3e1f61d84b604019bf7,true,1,043,幸运星,13879,110,105,https://patchwiki.biligame.com/images/sr/f/f0/p1elhq9rvdan8fi3fnuj7q1rj626pn0.png,https://wiki.biligame.com/sr/%E5%B9%B8%E8%BF%90%E6%98%9F,99085,200,0f48b0a0f9fb6045a0c9f0955416a0016e9484e2ef46f3e1f61d84b604019bf7,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第1行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
42,currency_wars_equipment_044,折叠小刀,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_044.png,a9e3c2be6eaef07306123fd11a9c326d182a8d7ddebcea7b06489b2783c18de4,a9e3c2be6eaef07306123fd11a9c326d182a8d7ddebcea7b06489b2783c18de4,true,1,044,折叠小刀,11910,115,99,https://patchwiki.biligame.com/images/sr/b/b6/3xtgvw37s5gakbvjzb9afhec2zkngnt.png,https://wiki.biligame.com/sr/%E6%8A%98%E5%8F%A0%E5%B0%8F%E5%88%80,99085,200,a9e3c2be6eaef07306123fd11a9c326d182a8d7ddebcea7b06489b2783c18de4,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第1行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
43,currency_wars_equipment_045,生命之花,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_045.png,08498d5f24560de057cf968027c9dccf579e81bcf04cd8efb03806bda74e0a62,08498d5f24560de057cf968027c9dccf579e81bcf04cd8efb03806bda74e0a62,true,1,045,生命之花,19244,105,109,https://patchwiki.biligame.com/images/sr/9/9b/ova1zcng0frnbh1932iij24m58031be.png,https://wiki.biligame.com/sr/%E7%94%9F%E5%91%BD%E4%B9%8B%E8%8A%B1,99085,200,08498d5f24560de057cf968027c9dccf579e81bcf04cd8efb03806bda74e0a62,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第1行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
44,currency_wars_equipment_046,轮滑鞋,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_046.png,35e375357edaf3cdbe3fd7d57989bf4302350ff428ce1d2160a2c555a94d67b1,35e375357edaf3cdbe3fd7d57989bf4302350ff428ce1d2160a2c555a94d67b1,true,1,046,轮滑鞋,18603,115,120,https://patchwiki.biligame.com/images/sr/f/f1/qu4txn7itc6ho8i79dv2ulrqnzhj0bh.png,https://wiki.biligame.com/sr/%E8%BD%AE%E6%BB%91%E9%9E%8B,99085,200,35e375357edaf3cdbe3fd7d57989bf4302350ff428ce1d2160a2c555a94d67b1,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第1行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
45,currency_wars_equipment_047,量产型装甲,简易装备,basic,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_047.png,c261f505b9f0b395cf89838f153c4f073decdb3ec3076a78f9fb12def099d56f,c261f505b9f0b395cf89838f153c4f073decdb3ec3076a78f9fb12def099d56f,true,1,047,量产型装甲,14406,103,114,https://patchwiki.biligame.com/images/sr/c/c9/ahyladeaygqsp08r7ym0u4n14ued1r7.png,https://wiki.biligame.com/sr/%E9%87%8F%E4%BA%A7%E5%9E%8B%E8%A3%85%E7%94%B2,99085,200,c261f505b9f0b395cf89838f153c4f073decdb3ec3076a78f9fb12def099d56f,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第1行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
46,currency_wars_equipment_048,以牙还牙甲,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_043,assets/currency_wars_equipment_icons/currency_wars_equipment_048.png,0111479a0ccb4585ccb931acbaab0e9771877936a5ce7ae10850242a446e0cb9,0111479a0ccb4585ccb931acbaab0e9771877936a5ce7ae10850242a446e0cb9,true,2,048；087,以牙还牙甲；以牙还牙甲•特权,35177,128,128,https://patchwiki.biligame.com/images/sr/d/db/eo02d2gr85j4lqukmjstaz91b6ip3wu.png,https://wiki.biligame.com/sr/%E4%BB%A5%E7%89%99%E8%BF%98%E7%89%99%E7%94%B2,99085,200,0111479a0ccb4585ccb931acbaab0e9771877936a5ce7ae10850242a446e0cb9,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第2行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
47,currency_wars_equipment_049,信心注入器,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_049.png,56bea7098d3578a24612068268e277f53e143b1aa23ac0d32df8afadca76c09e,56bea7098d3578a24612068268e277f53e143b1aa23ac0d32df8afadca76c09e,true,2,049；088,信心注入器；信心注入器•特权,31189,128,128,https://patchwiki.biligame.com/images/sr/a/a0/4hqov03g1ee61d5brm35ncbu1ln8tje.png,https://wiki.biligame.com/sr/%E4%BF%A1%E5%BF%83%E6%B3%A8%E5%85%A5%E5%99%A8,99085,200,56bea7098d3578a24612068268e277f53e143b1aa23ac0d32df8afadca76c09e,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第2行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
48,currency_wars_equipment_050,光能盾牌,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_047,assets/currency_wars_equipment_icons/currency_wars_equipment_050.png,4c7f19fa94a7b2845a067e086a52874e66cd3f35ffb3533a14b142dd475fb782,4c7f19fa94a7b2845a067e086a52874e66cd3f35ffb3533a14b142dd475fb782,true,2,050；089,光能盾牌；光能盾牌•特权,23578,128,128,https://patchwiki.biligame.com/images/sr/9/96/mehybcs3df2tt1o2lv56ktaea1caa3q.png,https://wiki.biligame.com/sr/%E5%85%89%E8%83%BD%E7%9B%BE%E7%89%8C,99085,200,4c7f19fa94a7b2845a067e086a52874e66cd3f35ffb3533a14b142dd475fb782,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第2行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
49,currency_wars_equipment_051,光速螺旋桨,进阶装备,advanced,是,是,,currency_wars_equipment_040；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_051.png,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,true,4,051；090；143；146,光速螺旋桨；光速螺旋桨•特权；极•白昼•光速螺旋桨；白昼•光速螺旋桨,31526,128,128,https://patchwiki.biligame.com/images/sr/e/ed/tuj9v192vmobh7xslh16kbia0uurl7q.png,https://wiki.biligame.com/sr/%E5%85%89%E9%80%9F%E8%9E%BA%E6%97%8B%E6%A1%A8,99085,200,e6a8adcd7331b1036186a76b3190cd5746b58d89e84e5a6aa07a25860b760eb2,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第2行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
50,currency_wars_equipment_052,冷笑话引擎,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_043,assets/currency_wars_equipment_icons/currency_wars_equipment_052.png,8558d839f989cfece0189ce7007c88f6deb48c685f9cfb48fa717f2e85273cc9,8558d839f989cfece0189ce7007c88f6deb48c685f9cfb48fa717f2e85273cc9,true,2,052；091,冷笑话引擎；冷笑话引擎•特权,32541,128,128,https://patchwiki.biligame.com/images/sr/a/a8/7slh4vr9sj62l96ejejxu2emvixd77o.png,https://wiki.biligame.com/sr/%E5%86%B7%E7%AC%91%E8%AF%9D%E5%BC%95%E6%93%8E,99085,200,8558d839f989cfece0189ce7007c88f6deb48c685f9cfb48fa717f2e85273cc9,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第2行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
